ชื่อเครื่องราง,ภาพ,พิกัดขาย,ประเภทเครื่องราง,ความเชื่อ,วัสดุที่ใช้,ปีที่สร้าง,พิธีปลุกเสก,วัตถุประสงค์การใช้งาน,ราคาโดยประมาณ,ความนิยม,ความเกี่ยวข้องกับบุคคลสำคัญ,หมวดหมู่,,
ผ้ายันต์เรียนดี,https://drive.google.com/file/d/1A1gpT6dAp3Y9yi55788Mqx0pCtmrz4J6/view?usp=drive_link,วัดราชบพิธ,ผ้ายันต์,ป้องกันการเรียนล้มเหลว,ผ้า,2553,ปลุกเสกโดยพระเกจิ,แขวนที่โต๊ะเรียน,800+,กลาง,พระเกจิ,การเรียน,,
เหรียญเรียนดี,https://drive.google.com/file/d/1Rec34iXsKp_ZNNTAT8lZgXYqb53vAjAT/view?usp=drive_link,วัดปากน้ำ,เหรียญ,เสริมความจำ,เนื้อทองแดง,2555,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,000+",สูง,หลวงพ่อ,การเรียน,,
ลูกอมเสริมปัญญา,https://drive.google.com/file/d/1Tts9EqTU13QIZfqFSuznoEW_guUF9iHr/view?usp=drive_link,วัดตลิ่งชัน,ลูกอม,เสริมปัญญา,เนื้อผง,2548,ปลุกเสกโดยพระเกจิ,พกติดตัว,"1,500+",กลาง,พระเกจิ,การเรียน,,
ตะกรุดปัญญา,https://drive.google.com/file/d/16RMTkv4ms27-Usc5FLZATHk0pUJDvVqq/view?usp=drive_link,วัดพระศรี,ตะกรุด,ช่วยในการศึกษาหาความรู้,ทองแดง,2556,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,800+",สูง,หลวงพ่อ,การเรียน,,10 รูป
พระอาจารย์อิ่ม,,วัดป่าหมาก,พระเครื่อง,เสริมโชคลาภการเรียน,เนื้อผง,2547,ปลุกเสกโดยพระอาจารย์,บูชาที่บ้าน,"1,200+",กลาง,พระอาจารย์,การเรียน,,
พระครูโสภณ,,วัดน้อย,พระเครื่อง,ป้องกันอุปสรรคในการเรียน,เนื้อผง,2552,ปลุกเสกโดยพระครู,บูชาที่บ้าน,"1,700+",สูง,พระครู,การเรียน,,
ตะกรุดอาจารย์,,วัดป่า,ตะกรุด,เสริมความรู้,ทองแดง,2554,ปลุกเสกโดยพระอาจารย์,พกติดตัว,"1,600+",กลาง,พระอาจารย์,การเรียน,,
เหรียญปัญญา,,วัดหนองบัว,เหรียญ,ช่วยส่งเสริมการเรียน,เนื้อทองแดง,2549,ปลุกเสกโดยพระเกจิ,พกติดตัว,"1,800+",สูง,พระเกจิ,การเรียน,,
พระพุทธรูปเล็ก,,วัดป่าม่วง,พระเครื่อง,เสริมความสำเร็จ,เนื้อทองคำ,2539,ปลุกเสกโดยพระอาจารย์,บูชาที่บ้าน,"2,000+",กลาง,พระอาจารย์,การเรียน,,
ตะกรุดจิตสัมผัส,,วัดลาดพร้าว,ตะกรุด,ช่วยให้มีสมาธิ,ทองแดง,2557,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,300+",สูง,หลวงพ่อ,การเรียน,,
ลูกอมเสริมเรียน,,วัดชัยมงคล,ลูกอม,ช่วยให้เรียนดี,เนื้อผง,2543,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,100+",กลาง,หลวงพ่อ,การเรียน,,
พระพุทธองค์เล็ก,,วัดเมือง,พระเครื่อง,ช่วยเสริมการเรียนรู้,เนื้อทองคำ,2555,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"2,500+",สูง,พระเกจิ,การเรียน,,
ผ้ายันต์เรียนดี,,วัดท่าพระ,ผ้ายันต์,ป้องกันอุปสรรค,ผ้า,2550,ปลุกเสกโดยหลวงพ่อ,แขวนที่โต๊ะเรียน,"1,000+",กลาง,หลวงพ่อ,การเรียน,,
พระเกจิเรียนดี,,วัดหนองไม้,พระเครื่อง,เสริมการเรียน,เนื้อผง,2546,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"1,800+",สูง,พระเกจิ,การเรียน,,
ตะกรุดแสงสว่าง,,วัดคลอง,ตะกรุด,ช่วยให้มองเห็นทางการเรียน,ทองแดง,2558,ปลุกเสกโดยพระอาจารย์,พกติดตัว,"1,400+",กลาง,พระอาจารย์,การเรียน,,
พระบูชาเล็ก,,วัดบ้านกล้วย,พระเครื่อง,เสริมการเรียนรู้,เนื้อทองแดง,2553,ปลุกเสกโดยหลวงพ่อ,บูชาที่บ้าน,"2,200+",สูง,หลวงพ่อ,การเรียน,,
ตะกรุดเทพเจ้า,,วัดเทพธิดา,ตะกรุด,ช่วยให้การเรียนสำเร็จ,ทองแดง,2541,ปลุกเสกโดยพระอาจารย์,พกติดตัว,"1,300+",กลาง,พระอาจารย์,การเรียน,,
ลูกอมสำเร็จ,,วัดจุฬา,ลูกอม,ช่วยในการเรียน,เนื้อผง,2544,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,700+",สูง,หลวงพ่อ,การเรียน,,
พระพุทธรูปน้อย,,วัดพระธาตุ,พระเครื่อง,เสริมความรู้,เนื้อทองคำ,2538,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"2,500+",กลาง,พระเกจิ,การเรียน,,
ตะกรุดวิชาเรียน,,วัดบ้านนอก,ตะกรุด,ช่วยให้เรียนดี,ทองแดง,2556,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,000+",สูง,หลวงพ่อ,การเรียน,,
ผ้ายันต์อาจารย์,,วัดโนนสูง,ผ้ายันต์,เสริมการศึกษา,ผ้า,2552,ปลุกเสกโดยพระอาจารย์,แขวนที่โต๊ะเรียน,800+,กลาง,พระอาจารย์,การเรียน,,
พระพุทธเกื้อหนุน,,วัดทุ่งเศรษฐี,พระเครื่อง,ช่วยในการเรียน,เนื้อผง,2551,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"1,500+",สูง,พระเกจิ,การเรียน,,
ตะกรุดเรียนสำเร็จ,,วัดมะขาม,ตะกรุด,เสริมการเรียน,ทองแดง,2559,ปลุกเสกโดยพระอาจารย์,พกติดตัว,"1,200+",กลาง,พระอาจารย์,การเรียน,,
ลูกอมความรู้,,วัดคลองลาน,ลูกอม,ช่วยในการศึกษา,เนื้อผง,2553,ปลุกเสกโดยหลวงปู่,พกติดตัว,"1,600+",สูง,หลวงปู่,การเรียน,,
พระเครื่องน้อย,,วัดหนองหญ้า,พระเครื่อง,ช่วยในการเรียน,เนื้อทองคำ,2545,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"2,200+",กลาง,พระเกจิ,การเรียน,,
พระมหาเสน่ห์,,วัดหนองปลาไหล,พระเครื่อง,เพิ่มความรู้และเสน่ห์,เนื้อผง,2554,ปลุกเสกโดยพระอาจารย์,บูชาที่บ้าน,"1,500+",กลาง,พระอาจารย์,การเรียน,,
ตะกรุดปัญญา,,วัดบางขวาง,ตะกรุด,ช่วยให้มีปัญญา,ทองแดง,2555,ปลุกเสกโดยหลวงปู่,พกติดตัว,"1,200+",สูง,หลวงปู่,การเรียน,,
พระหลวงปู่โสธร,,วัดโสธรวราราม,พระเครื่อง,ส่งเสริมการศึกษา,เนื้อทองคำ,2543,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"2,500+",สูง,พระเกจิ,การเรียน,,
ลูกอมเสริมการเรียน,,วัดโพธิ์,ลูกอม,ช่วยให้เรียนดี,เนื้อผง,2552,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,000+",กลาง,หลวงพ่อ,การเรียน,,
ผ้ายันต์อาจารย์,,วัดบวรนิเวศ,ผ้ายันต์,ป้องกันอุปสรรค,ผ้า,2550,ปลุกเสกโดยหลวงปู่,แขวนที่โต๊ะเรียน,"1,300+",สูง,หลวงปู่,การเรียน,,
พระพุทธรูปเล็ก,,วัดคู้บอน,พระเครื่อง,ช่วยในการศึกษา,เนื้อทองแดง,2541,ปลุกเสกโดยพระอาจารย์,บูชาที่บ้าน,"2,000+",กลาง,พระอาจารย์,การเรียน,,
ตะกรุดเจริญพลัง,,วัดน้ำตก,ตะกรุด,ช่วยให้มีพลังในการเรียน,ทองแดง,2553,ปลุกเสกโดยพระเกจิ,พกติดตัว,"1,500+",สูง,พระเกจิ,การเรียน,,
เหรียญเรียนดี,,วัดน้อย,เหรียญ,เสริมการเรียน,เนื้อทองแดง,2554,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"1,200+",กลาง,หลวงพ่อ,การเรียน,,
พระพุทธชินราช,,วัดพระศรี,พระเครื่อง,ช่วยส่งเสริมการศึกษา,เนื้อทองคำ,2539,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"2,500+",สูง,พระเกจิ,การเรียน,,
ตะกรุดมงคล,,วัดเสาเอก,ตะกรุด,เสริมโชคลาภการเรียน,ทองแดง,2556,ปลุกเสกโดยพระอาจารย์,พกติดตัว,"1,100+",กลาง,พระอาจารย์,การเรียน,,
