สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา (ของที่ต้องเตรียม),ภาพสถานที่,หมวดหมู่
วัดพญาภู,พระธาตุเจ้าพญาภู สักการะขอให้ชีวิตราบรื่น รุ่งเรือง ผ่านพ้นปัญหาอุปสรรคในชีวิต เดินทาง ปลอดภัย,ตำบลในเวียง อำเภออำเภอเมืองน่าน จังหวัดน่าน,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 - 16.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดพระธาตุช้างค้ำวรวิหาร,พระธาตุข้างค้ำหรือเจดีย์ช้างค้ำ สักการะขอพรให้มีผู้อุปถัมภ์ค้ำทู พบแต่สิ่งที่เป็นสิริมงคล เดินทางแคล้วคลาดปลอดภัย,ถนนสุริยพงษ์ ตำบลในเวียง อำเภอเมืองน่าน จังหวัดน่าน,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,,กราบไหว้ขอพรตามดั่งปราถนา,,เดินทาง
วัดพระธาตุเบ็งสกัด,พระธาตุเบ็งสกัด สักการะองค์พระธาตุ ขอพรปู่สุวรรณนาคราช และแม่ย่าแก้วคำกลองนาคินีให้เดินทางอย่างปลอดภัย,อำเภอปัว จังหวัดน่าน,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-17.00 น.,,กราบไหว้ขอพรตามดั่งปราถนา,,เดินทาง
วัดพระธาตุดอยแยงแสงจันทร์นันทบุรี,สักการะ ขอพรไห้พบแต่สิ่งที่ดีงามในชีวิต และขอให้เดินทางไกลปลอดภันแคล้วคลาด,บ้านดอนเฟือง หมู่ที่2 ตาบลเรือง อาเภอเมืองน่าน จังหวัดน่าน,"จ,อ,พ,พฤ,ศ,ส,อา ", 09.00-16.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดป่าหัด,พระธาตุรัตนมงคลแก้วดวงดี ขอพรให้ประสบความสำเร็จในชีวิต สุขภาพแข็งแรง เดินทางปลอดภัย, เลขที่ 90 หมู่ที่ 2 (บ้านป่าหัด) ตำบลปัว อำเภอปัว จังหวัดน่าน,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 17.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดเทพพิทักษ์ปุณณาราม,พระพุทธสกลสีมามงคล องค์เล็ก ประดิษฐานอยู่ให้เราได้สักการะกราบไหว้เพื่อความเป็นสิริมงคล เดินทางปลอดภัยแคล้วคลาด แต่สำหรับใครที่ฟิตร่างกายมาพร้อม เราก็สามารถขึ้นไปยังบนเขาต่อได้ เพื่อไปสักการะ หลวงพ่อขาว องค์ใหญ่,ขาเสียดอ้า บ้านกลางดง ตำบลกลางดง อำเภอปากช่อง จังหวัดนครราชสีมา,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-18.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดป่าภูก้อน,บริเวณด้านในของวิหาร เป็นที่ประดิษฐานของ พระพุทธไสยาสน์โลกนาถศาสดามหามุนี พระนอนสีขาวองค์ใหญ่ มีความยาวถึง 20 เมตรด้วยกัน มีความประณีต สวยงาม และตระการตามากๆ ว่ากันว่าสร้างขึ้นด้วยหินอ่อนที่นำเข้าจากอิตาลี ที่นำมาเรียงซ้อนทับกันมากกว่า 40 ก้อน อีกทั้งภายในวิหาร ยังมีพระบรมสารีริกธาตุ บรรจุพระเกศพระร่วงโรจน์ศรีบูรพา ไว้ให้เราไปสักการะ ขอพร เพื่อเสริมสิริมงคลแก่ชีวิต เดินทางปลอดภัยแคล้วคลาด,ต.บ้านก้อง อ.นายูง จ.อุดรธานี จ.อุดรธานี,"จ,อ,พ,พฤ,ศ,ส,อา ",08.30-17.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดหลวงพ่อเงินบางคลาน,หลวงพ่อเงิน มีชื่อเสียงในการขอพรเพื่อความปลอดภัยในการเดินทางและการคุ้มครองจากอันตราย,หมู่ 5 ถนนท่าบัว-บางคลาน บางคลาน โพทะเล พิจิตร,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น.,,วันนมัสการหลวงพ่อเงินวัดบางคลาน คือ วันอังคาร วันพฤหัสบดี วันศุกร์ พร้อมด้วยดอกบัวหรือดอกมะลิ 9 ดอก หมาก 3 คำ จัดใส่พาน และธูป 9 ดอก เทียน 1 คู่ ให้ตั้งจิตอธิษฐานขอบารมีพุทธคุณของหลวงพ่อเงินคุ้มครอง ป้องกันภัยจากโจรผู้ร้าย ตลอดจนค้าขายของดีเลิศ มีเมตตามหานิยม,,เดินทาง
วัดมหาธาตุยุวราชรังสฤษฎิ์,ขอพรให้การเดินทางราบรื่นและปลอดภัยจากอุปสรรคและอันตราย,3 ถนนท่าพระจันทร์ แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.30-18.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดพระธาตุพนม,พระธาตุพนม เป็นที่เคารพสักการะในการขอพรเพื่อความเป็นสิริมงคลและความปลอดภัยในการเดินทาง,183/13 ถนนชยางกูร ตำบลธาตุพนม อำเภอธาตุพนม จังหวัดนครพนม,"จ,อ,พ,พฤ,ศ,ส,อา ", 6:00 น. - 21:00 น.,,กราบไหว้ขอพรตามดั่งปราถนา หรือถวายผ้าห่มพระธาตุพนม ตักบาตรคู่อายุ ถวายข้าวพืชภาค เสียค่าหัว พิธีเจริญพระพุทธมนต์ พิธีเวียนเทียนในทุกคืน เมื่อถึงเดือน 3 ข้างขึ้น,,เดินทาง
วัดเขาอ้อ,มีชื่อเสียงเรื่องพุทธคุณป้องกันภัยและคุ้มครองในการเดินทาง,ตำบลมะกอกเหนือ อำเภอควนขนุน จังหวัดพัทลุง,"จ,อ,พ,พฤ,ศ,ส,อา ",07:00 - 18:00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดสังกระต่าย,หลวงพ่อโบสถ์ร้าง เป็นพระพุทธรูปที่ประดิษฐานในโบสถ์ร้าง ซึ่งมักเป็นที่เคารพสักการะของผู้ที่มีความศรัทธาในการขอพรเกี่ยวกับความปลอดภัยในการเดินทาง โดยเฉพาะในจังหวัดอ่างทอง ซึ่งวัดสังกระต่ายเป็นวัดเก่าแก่และโบสถ์ร้างที่มีพระพุทธรูปประดิษฐานอยู่ในโบสถ์เก่าที่ต้นโพธิ์ปกคลุม ทำให้สถานที่นี้มีความศักดิ์สิทธิ์และมีพุทธคุณในการปกป้องคุ้มครอง,ตำบลศาลาแดง อำเภอเมืองอ่างทอง จังหวัดอ่างทอง ,"จ,อ,พ,พฤ,ศ,ส,อา ",8.00 -​17.00​น.,,"เตรียมเครื่องสักการะ
ธูป 9 ดอก: ใช้สำหรับการบูชาพระพุทธรูป
เทียน 1 คู่: เพื่อแสงสว่างในการเดินทาง
พวงมาลัยหรือดอกไม้สด: นิยมใช้ดอกบัวหรือพวงมาลัยเพื่อบูชาพระพุทธรูป
ของถวายอื่นๆ: เช่น น้ำเปล่า ผลไม้ หรือข้าวสาร ขึ้นอยู่กับความเชื่อส่วนบุคคล
การสวดมนต์บูชา
ก่อนเริ่มสักการะ ให้ จุดธูปและเทียน พร้อมตั้งจิตใจให้สงบ
กล่าว ""นะโม 3 จบ"" และตั้งจิตขอพรให้การเดินทางของคุณปลอดภัย ปราศจากอันตรายทั้งปวง
สวด ""พุทธชัยมงคลคาถา"" (คาถาพาหุง) ซึ่งเชื่อว่าจะช่วยให้มีความปลอดภัยและคุ้มครองจากอันตราย",,เดินทาง
วัดพระพุทธฉาย,มีพระพุทธฉาย (เงาพระพุทธเจ้า) ที่ประชาชนนิยมมาขอพรให้ปลอดภัยในการเดินทาง,ถนนพหลโยธิน หนองปลาไหล เมืองสระบุรี สระบุรี,"จ,อ,พ,พฤ,ศ,ส,อา ",7:00-17:00.น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดหนองบัว,หลวงพ่อโตเป็นที่เคารพในการขอพรให้เดินทางปลอดภัยและคุ้มครองจากอันตราย,ถ. ธรรมวิถี ต. ในเมือง อ. เมือง จ.อุบลราชธานี ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00 - 23.30 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",,เดินทาง
วัดพระธาตุช่อแฮ,พระธาตุช่อแฮ เป็นพระธาตุประจำปีเกิดปีเสือ (ปีขาล) เชื่อกันว่าหากนำผ้าแพร 3 สีไปถวายจะทำให้ชีวิตมีพลัง คุ้มครองป้องกันศัตรูได้ มีความเจริญรุ่งเรืองในชีวิต แคล้วคลาดปลอดภัย,เลขที่ 1 หมู่ที่ 11 ถนนช่อแฮ ตำบลช่อแฮ อำเภอเมืองแพร่ จังหวัดแพร่ ,"จ,อ,พ,พฤ,ศ,ส,อา ",06:00 - 19:00 น.,,การสวดและไหว้ให้เริ่มต้นนะโม 3 จบ แล้วสวดตามด้วยคาถาบูชาพระธาตุ 5 จบ พลังบารมีจะดลบันดาลให้มีชีวิตที่ดีขึ้น,,เดินทาง
วัดท่าอิฐ,หลวงพ่อใหญ่เป็นที่เคารพในการขอพรเพื่อความปลอดภัยในการเดินทางและปกป้องจากอันตราย,วัดท่าอิฐ ตำบลท่าอิฐ อำเภอปากเกร็ด จังหวัดนนทบุรี,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-24.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา การอธิษฐานจิตขอพรกับหลวงพ่อใหญ่นั้น ให้ใช้ 2 มือสัมผัสที่ปลายนิ้วกลางขององค์หลวงพ่อ แล้วตั้งใจขอในสิ่งที่ดี ทำความดีตามที่ตั้งใจไว้ แล้วจะได้รับผลสำเร็จสมตามใจปรารถนา",,เดินทาง
ท้าวจตุโลกบาล, ท้าวจตุโลกบาล ตามความเชื่อแล้ว เป็นเทพที่รักษาทุกข์ สุข ของมนุษย์โลกไว้ทั้ง 4 ทิศ และทำหน้าที่ป้องกันอันตรายที่จะเกิดแก่มนุษย์โลกทั้งหลาย ผู้คนจึงมักไปขอพรเพื่อความเป็นสิริมงคล อำนาจ บารมี ให้ท่านคุ้มครองให้พ้นจากภัยทั้งปวง,เกสร วิลเลจ ชั้น 4 (ฝั่งเกสร วอล์ค เดินเลยองค์พระแม่ลักษมีไปทางซ้าย),"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-19.00 น.,, ธูป 16 ดอก หมากพลู บุหรี่ 9 คำ ผลไม้มงคล ดอกไม้สีแดงหรือเหลือง พวงมาลัย ขนมหวาน (ห้ามถวายของคาวและของสีดำ),,เดินทาง
ลานด้านหน้าพระราชวังดุสิตพระบรมรูปทรงม้า, มีความเชื่อกันว่า การสักการะ พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว รัชกาลที่ 5 เป็นการขอพรให้มีความเจริญรุ่งเรือง ในทุกด้านของชีวิต ไม่ว่าจะเป็นหน้าที่การงาน การเรียน สถานที่ที่น้อง ๆ มัธยมชั้นปีที่ 6 มาขอพรให้สอบติดมหาลัยชื่อดังอีกเช่นกัน ปัญหาชีวิต ค้าขาย รวมถึงหากอยากชนะคดีความก็สามารถมาบนบาน ขอพรท่านไห้เช่นกันค่ะ นอกจากนี้ยังช่วยให่เราเป็นที่รักใคร่ของคนทั่วไปหรือผู้ร่วมงานอีกด้วย ,ถนนอู่ทองใน แขวงดุสิต เขตดุสิต กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ", 06.00-22.00 น.,,"สิ่งของสักการะ : ธูป 16 ดอก(หากขอพรให้ใช้ธูป 9 ดอก), พวงมาลัยดาวเรือง หรือพวงมาลัยมะลิดาวเรือง ไข่ต้มหรือเครื่องของแห้งต่างๆ ผลไม้ไทยและจีน เครื่องเซ่นไหว้แบบจีนเต็มชุด เช่น เป็ด ไก่ หัวหมูบายศรีและซาแซ เป็นต้น น้ำเปล่า น้ำผลไม้และน้ำหวานอื่นๆ ไม่ทรงโปรดเสวยน้ำจัณฑ์ หรือจะเป็นเสียงประทัด และเสียงปืน",https://drive.google.com/file/d/1w0GDfx9ujzpDKJc1a7NRtPsBGXLdVq8G/view?usp=sharing,การเรียน
ศาลกรมหลวงชุมพรเขตอุดมศักดิ์ ,เจ้าบรมวงศ์เธอ กรมหลวงชุมพร เขตอุดมศักดิ์ หรือ “เสด็จเตี่ย” เป็นผู้ปฏิบัติราชการในราชนาวีไทยเพื่อรักษาเสถียรภาพแห่งกองทัพเรือไว้ ขอพร :เรื่องการเรียน,ต.หาดทรายรี อ.เมือง จ.ชุมพร,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00-20.00 น.,,"การไหว้ : ท่องคาถา “ชุมพรจุตติ อิทธิกรณัง สุโข นะโมพุทธายะ นะมะพะทะ จะพะกะสะ” ตั้งนะโม 3 จบ ตามด้วย ข้าพเจ้า (ชื่อ....นามสกุล..... ขอพร)
ของไหว้ : กุหลาบแดง น้ำตาลเมา และขนมจีนน้ำพริก จุดธูป 9 หรือ 19 ดอก เทียน 1 คู่, ดอกกุหลาบแดง หรือพวงมาลัยดอกมะลิ รวมถึงประทัด ",https://drive.google.com/file/d/1WQF7-gRw5_11kUph6AplMdG3qd-dZEW8/view?usp=sharing,การเรียน
ศาลท้าวมหาพรหมเอราวัณ," ""พระพรหมเอราวัณ"" ถือเป็นเทพประจำ ทิศเบื้องบน มีอำนาจลิขิตชะตาชีวิตของทุกผู้ทุกนาม ถ้าได้มาก ราบไหว้ขอพรก็จะประสบความสำเร็จในสิ่งที่ต้องการ ส่วนใหญ่ คนจะนิยมมาขอเรื่องการงานให้ประสบความสำเร็จ เจริญ ก้าวหน้าในหน้าที่ ได้งานใหม่ หรือได้เลื่อนขั้น ซึ่งควรจะไหว้บูชา พระพรหมให้ครบทั้ง 4 พักตร์ 4 ทิศ คือด้านการเรียน","ที่อยู่ 494 ถ. ราชดำริ แขวงลุมพินี เขตปทุมวัน, กรุงเทพมหานคร ","จ,อ,พ,พฤ,ศ,ส,อา ",06.00-19.00 น.,,การไหว้พระพรหม จากพักตร์แรก แล้วเวียนขวามือของเรา หรือพระหัตถ์ซ้ายของ พระพรหม จนถึงพักตร์สุดท้าย หรือบนบานด้วยละครรำที่มี บริการด้านข้างศาลก็,https://drive.google.com/file/d/1Ao4Stf0Hw3xPHiwPy_LE8rUWe7CS_zH8/view?usp=sharing,การเรียน
ศาลพระพิฆเนศสี่แยกห้วยขวาง,เป็นที่ประดิษฐานขององค์พระพิฆเนศ 1 เศียร 4 กร ประดิษฐานในปางยืนประทานพรหรือท่ายืนประทาน พรบนดอกบัวบาน ในความเชื่อของชาวพุทธและพราหมณ์ เชื่อ ว่าพระพิฆเนศเป็นเทพเจ้าแห่งความสำเร็จในด้านหน้าที่การงาน การเรียน อาชีพและสติปัญญา,สี่แยกห้วยขวาง ถนนรัชดาภิเษก กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-24.00 น.,,"ของไหว้ : พวงมาลัยสีเหลืองหรือดอกไม้สีเหลือง เช่น ดอกดาวเรือง กุหลาบสีเหลือง พร้อมด้วยธูปบูชา 5 ก้าน เทียนเหลือง 1 เล่ม นอกจากนี้ยังสามารถถวายขนม นม น้ำผลไม้ หรือผลไม้สดร่วมด้วยได้ 

คาถาบูชาพระพิฆเนศ : ตั้งนะโม 3 จบ แล้วท่องคาถา “โองการพินธุนาถัง อุปปันนัง พรหมาสะ หะปะตินามะ อาทิกัปเป สุอาคะโต ปัญจะ ปะทุมังทิสวา นโมพุทธายะวันทะนัง โอมอิด พิฆเนศวรอิ จะมหาพรหมา มหิตทิเดชา สรรพเสน่หา ประสิทธิเม",https://drive.google.com/file/d/1Noa5hRhFMVHbrUhdOOaiSJns53G28CLa/view?usp=drive_link,การเรียน
ศาลหลักเมือง,สีถานที่ศักดิ์สิทธิ์ที่ผู้คนถือมาขอพรกัน โดยเฉพาะ ในเรื่องการเรียน เช่น สอบข้าราชการติด หรือ ต้องการหน้าที่การงานที่มั่นคง รวมถึงการไหว้ขอพรให้เกิดความ โชคดี เสริมมงคลในชีวิตด้วย,2 ถนน หลักเมือง แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.30 น.,,"ของไหว้ : ธูป 3 ดอก, เทียน 1 เล่ม, ผ้าแพร 3 สี, ทองคำเปลว, พวงมาลัย 2 พวง, ดอกบัว 2 ดอก กราบสักการะองค์พระหลักเมืองจำลอง จุดธูป เทียน และปิดทองคำเปลวพระพุทธรูป และผูกผ้าแพร 3 สี บนองค์พระหลักเมืองจำลอง โดยให้ผูกพร้อมกันทั้ง 3 ผืน จุดที่ 3 องค์พระหลักเมือง กราบสักการะและถวายพวงมาลัย งดจุดธูป เทียน และปิดทอง",https://drive.google.com/file/d/1-L8wZbq8v5c9gRJ3B1CF9JjDd8clgArS/view?usp=sharing\,การเรียน
วัดป่าเลไลยก์วรวิหาร,หลวงพ่อโต พระคู่บ้านคู่เมืองที่มีความเชื่อว่า ภายในบรรจุพระบรมสารีริกธาตุเอาไว้ทำให้เป็นที่เลื่อมใสศรัทธาแก่ชาวบ้านและนักท่องเที่ยว ต่างพากันมากราบไหว้สักการะขอพร โดยเรื่องที่นิยมขอส่วนใหญ่จะเป็นเรื่องการงาน การเรียน สอบเข้าต่าง ๆหรือขอให้มีผู้ใหญ่ช่วยเหลือให้การส่งเสริมอุปถัมภ์ ทำให้ราบรื่น,ถนนมาลัยแมน ตำบลรั้วใหญ่ อำเภอเมืองสุพรรณบุรี จังหวัดสุพรรณบุรี,"จ,อ,พ,พฤ,ศ,ส,อา ",8:00-18:00 น.,,บูชาจุดธูปเทียน ถวายดอกไม้พร้อมกล่าวคาถาบูชาหลวงพ่อโต,https://drive.google.com/file/d/1_P-v_zTGYI05Xz5x3H7D5N3kGLe6LnBR/view?usp=sharing,การเรียน
วัดป่าแดด,วัดป่าแดด ตั้งอยู่ในจังหวัดเชียงใหม่ เป็นวัดที่มีชื่อเสียงในการปฏิบัติธรรมและมีความสงบเหมาะสำหรับการขอพร รวมถึงการขอพรเรื่องการเรียน,70 หมู่ที่ 13 ตำบลป่าแดด อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.30 – 17.00 น.,,จุดธูปเทียนบูชา พระประธานในอุโบสถ,https://drive.google.com/file/d/1i-rOhSmML9FLwVLNo4VZzfMkYPi-s6wq/view?usp=sharing,การเรียน
วัดหลวงพี่แซม,ภายในประดิษฐาน พระเจ้าใหญ่อินทร์แปลง หรือ หลวงพ่อยิ้มเปิดฟ้า ซึ่งมีความเชื่อกันว่า หากมาสักการะขอพร จะประสบความสำเร็จต่างๆ ไม่ว่าจะเรื่องการเรียน การงาน,ตำบลหนองปรือ อำเภอพนัสนิคม จังหวัดชลบุรี,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชาพระเจ้าใหญ่อินทร์แปลง 
ตั้งนะโม ๓ จบ 
อิเมหิ นานาสักกาเรหิ อภิปูชิเตหิ ฑีฆายุโก โหมิ อโรโค สุขโต
สิทธิกัจจัง สิทธิกัมมัง ปิยัง มะมะ
อินทะพุทธะรูปัง อภิปาเลตุ มัง นะโมพุทธายะ
ศรีสวัสดีเจริญสุข สารพัดทุกข์ ให้เหือดหาย
ลาโภอย่าขาดสาย นิรันตะรัง ประสิทธิเม
พุทธัง สะระณัง คัจฉามิ
ธัมมัง สะระณัง คัจฉามิ
สังฆัง สะระณัง คัจฉามิ
กายวาจาจิตประสิทธิเม",https://drive.google.com/file/d/1bB__lIzg4N5oZaAvCWkzsBL6uFaO_ejC/view?usp=drive_link,การเรียน
ท้าวมหาพรหมเอราวัณ,มหาเทพผู้ยิ่งใหญ่ที่ดลบันดาลให้คำอธิษฐานสมดังปรารถนามานับไม่ถ้วนโดยเฉพาะเรื่องการงาน การเรียน ที่คนส่วนใหญ่มักมาบนบานกันเป็นจำนวนมาก,"494 ถ. ราชดำริ แขวงลุมพินี เขตปทุมวัน, กรุงเทพมหานคร ","จ,อ,พ,พฤ,ศ,ส,อา ",06.00 – 23.00 น.,,"กราบไหว้ขอพร พร้อมทั้งนำ ธูป 12 ดอก, เทียน 1 เล่ม และพวงมาลัยดาวเรือง 4 พวง ไปสักการะบูชาท่าน",https://drive.google.com/file/d/1byhxuXv5QMGOQbWO4KShBODkJPweRh5g/view?usp=drive_link,การเรียน
วัดพระธาตุดอยคำ,ต้องการอธิษฐานและขอพรอย่างรวดเร็วสมดั่งใจหวังแล้วละก็ต้องเดินทางมากราบไหว้ขอพรองค์หลวงพ่อทันใจกันที่ วัดพระธาตุดอยคำ จังหวัดเชียงใหม่ แหล่งท่องเที่ยวเชิงศาสนาที่เหล่าบรรดานักท่องเที่ยวมากมายรู้จักกันเป็นอย่างดี เนื่องจากบริเวณสถานที่แห่งนี้เป็นแหล่งขอพรยอดนิยมที่หากใครอยากขอเรื่องการงาน การเงิน หรือแม้แต่การเรียนต่าง ๆ ก็สามารถมาขอพรกับหลวงพ่อทันใจให้ประทานพรได้อย่างสมใจหวัง,108 ถนนเชียงใหม่-หางดง สุเทพ เมืองเชียงใหม่ เชียงใหม่ ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 - 18.00 น.,,"ตั้งจิตให้สงบนิ่งแล้วก็จุดธูป 3 ดอก
ท่อง “นะโม ตัสสะ ภะคะวะโต อะระหะโต สัมมาสัมพุทธัสสะ (3 จบ)” แล้วตามด้วยคาถาบูชาหลวงพ่อทันใจ “โอมนะโม พุทธายะ ยะอะสะ สุมัง จะปาคะ”
เมื่อท่องคาถาหลวงพ่อทันใจเสร็จสิ้นแล้วก็ให้ตั้งจิตอธิฐานขอพรให้กล่าวชื่อและนามสกุล จากนั้นก็ให้ขอพรตามที่ปรารถนา",https://drive.google.com/file/d/18EYIHizJ43wbBNzI_ZLZxSmDa5VUiIX0/view?usp=drive_link,การเรียน
ศาลเจ้าพ่อเสือ,ศาลเจ้าพ่อเสือ ที่นับได้ว่าเป็นอีกหนึ่งในพิกัดที่ใครอยากเสริมดวงเรื่องความปังในการททำงาน การเรียน และความปังในด้านการเงินแล้วละก็ไม่ควรพลาดเดินทางมาที่นี่เลยทีเดียว เพราะคนไทยเชื้อสายจีนส่วนใหญ่มีความเชื่อว่าองค์เจ้าพ่อเสือ หรือ ตั่วเหล่าเอี้ย จะเป็นผู้ที่มีพละกำลัง และอำนาจเป็นอย่างมาก ทำให้เราสามารถก้าวผ่านอุปสรรคต่าง ๆ ไปได้ด้วยดี,468 ถนนตะนาว เขตพระนคร กรุงเทพฯ ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 - 21.00 น.,,เตรียมของไหว้เป็นชุด เมื่อเข้าไปในศาลแล้ว เดินตามลูกศรและไหว้ตามจุดให้ครบทั้ง 6 จุดตามลำดับ อย่าสลับกัน เริ่มจากปักธูปทีละ 3 ดอก รวมทั้งหมด 18 ดอก ครบแล้วปักเทียนและวางเครื่องเซ่นไหว้ จากนั้นแก้ปีชงด้วยการนำกระดาษเผามาถือปัดออกจากตัว 12 ครั้งก่อนนำกระดาษมาเผาในเตา ตามด้วยตั้งจิตอธิษฐานขอพรตามความปรารถนา,https://drive.google.com/file/d/1wQtEDM1CvynaNbBxsphx-RP_PdrLVOAX/view?usp=drive_link,การเรียน
วัดเบญจมบพิตรดุสิตวนารามราชวรวิหาร,วัดเบญจมบพิตร มีความหมายว่า วัดของเจ้านาย 5 พระองค์ที่ทรงร่วมกันปฏิสังขรณ์ ทำให้เชื่อกันว่า ใครที่ได้มาไหว้จะมี “หน้าที่การงานการเรียนราบรื่น ประสบความสำเร็จ”,69 ถนนพระรามที่ 5 แขวงดุสิต เขตดุสิต กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00-17.00 น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",https://drive.google.com/file/d/1qGCgLKAwpuYbdqG8VGKDFtord-DzJZue/view?usp=drive_link,การเรียน
วัดพญาวัด,วัดพญาวัดนั้นก็มีการปรากฏในเอกสารประวัติศาสตร์ด้วยเช่นกัน คือใน พงศาวดารล้านนาและพงศาวดารเมืองน่าน เป็นต้น ซึ่งไฮไลท์ของวัดนี้ก็คือ พระเจ้าในโขง และยังมีพระธาตุจามเทวี วัดพญาวัด ขอพรให้สมหวังในเรื่องการงาน การเรียน,บ้านพญาวัด ตำบลดู่ใต้ อำเภอเมืองน่าน จังหวัดน่าน,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00 - 18.00น.,,"ธูป, เทียน, ดอกไม้ พร้อมกล่าวคาถาบูชา",https://drive.google.com/file/d/1S2iHb_fpHVz_UxXy77JcUz4PVf4tsO2f/view?usp=sharing,การเรียน
อนุสาวรีย์สมเด็จพระเจ้าตากสินมหาราช,มีความเชื่อว่าบารมีแห่งสมเด็จพระเจ้าตากสินมหาราช หรือสมเด็จพระเจ้ากรุงธนบุรี พระมหากษัตริย์ผู้ยิ่งใหญ่แห่งอาณาจักรธนบุรี จะช่วยให้ประสบความสำเร็จในเรื่องการค้าขาย การเรียน และการงาน โดยมีความเชื่อกันว่าศักดิ์สิทธิ์เรื่องการสอบเข้ามาก ไม่ว่าจะเป็นการสอบเข้าเรียนต่อ หรือสอบเข้าทำงานในราชการ,อาคารหอสมุดเดิม แขวงวัดอรุณ เขตบางกอกใหญ่ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-24.00 น.,,"ของไหว้ : ธูป 9 หรือ 16 ดอก, พวงมาลัยดอกดาวเรือง",https://drive.google.com/file/d/1bjP9Y4JyUVARYaVtrn4hwMDFfPNm-IQn/view?usp=drive_link,การเรียน
